Tweet,Tokenized_Tweets,Corrected_Words,Emoji
Eurasia Group If you are choosing to invest in the Philippines and some other countries in the region corruption is a risk you gonna have to deal with in either those markets hashtagTheFilipinoVotes Philippines,"['eurasia', 'group', 'if', 'you', 'are', 'choosing', 'to', 'invest', 'in', 'the', 'philippines', 'and', 'some', 'other', 'countries', 'in', 'the', 'region', 'corruption', 'is', 'a', 'risk', 'you', 'gon', 'na', 'have', 'to', 'deal', 'with', 'in', 'either', 'those', 'markets', 'hashtagthefilipinovotes', 'philippines']","eurasia, group, choosing, invest, philippine, country, region, corruption, risk, gon, deal, market, hashtagthefilipinovotes, philippine",
Eurasia Group I think transforming the Philippines infrastructure will do more than tweaking any law in terms of bolstering foreign investment hashtagTheFilipinoVotes Philippines,"['eurasia', 'group', 'i', 'think', 'transforming', 'the', 'philippines', 'infrastructure', 'will', 'do', 'more', 'than', 'tweaking', 'any', 'law', 'in', 'terms', 'of', 'bolstering', 'foreign', 'investment', 'hashtagthefilipinovotes', 'philippines']","eurasia, group, transforming, philippine, infrastructure, tweaking, law, term, bolstering, foreign, investment, hashtagthefilipinovotes, philippine",
UPDATE Voters were allowed to get in at 615pm But by that time the crowd was already this thick hashtagTheFilipinoVotes Philippines,"['update', 'voters', 'were', 'allowed', 'to', 'get', 'in', 'at', '615pm', 'but', 'by', 'that', 'time', 'the', 'crowd', 'was', 'already', 'this', 'thick', 'hashtagthefilipinovotes', 'philippines']","update, voter, allowed, pm, time, crowd, thick, hashtagthefilipinovotes, philippine",
Robreros daughters Aika and Tricia waiting for their turn to vote at Tabuco Central School in Naga City Jillian has already voted as OAV hashtagTheFilipinoVotes Philippines camera_with_flash VP Leni Media Bureau,"['robreros', 'daughters', 'aika', 'and', 'tricia', 'waiting', 'for', 'their', 'turn', 'to', 'vote', 'at', 'tabuco', 'central', 'school', 'in', 'naga', 'city', 'jillian', 'has', 'already', 'voted', 'as', 'oav', 'hashtagthefilipinovotes', 'philippines', 'camera_with_flash', 'vice_president', 'leni', 'media', 'bureau']","robreros, daughter, aika, tricia, waiting, turn, vote, tabuco, central, school, naga, city, jillian, voted, oav, hashtagthefilipinovotes, philippine, camera_with_flash, vice_president, leni, medium, bureau",camera_with_flash
Eurasia Group What foreign investors will be looking for are signs that the next administration whether its under Bongbong Marcos or Vice President Leni Robredo will continue to push ahead with economic reforms hashtagTheFilipinoVotes Philippines,"['eurasia', 'group', 'what', 'foreign', 'investors', 'will', 'be', 'looking', 'for', 'are', 'signs', 'that', 'the', 'next', 'administration', 'whether', 'its', 'under', 'bongbong', 'marcos', 'or', 'vice', 'president', 'leni', 'robredo', 'will', 'continue', 'to', 'push', 'ahead', 'with', 'economic', 'reforms', 'hashtagthefilipinovotes', 'philippines']","eurasia, group, foreign, investor, sign, administration, bongbong, marcos, vice, president, leni, robredo, continue, push, ahead, economic, reform, hashtagthefilipinovotes, philippine",
BREAKING Presidential candidate Sen Ping Lacson casts his vote at the Bayang Luma 1 Elementary School in Imus Cavite hashtagTheFilipinoVotes Philippines Live updates,"['breaking', 'presidential', 'candidate', 'senator', 'ping', 'lacson', 'casts', 'his', 'vote', 'at', 'the', 'bayang', 'luma', '1', 'elementary', 'school', 'in', 'imus', 'cavite', 'hashtagthefilipinovotes', 'philippines', 'live', 'updates']","breaking, presidential, candidate, senator, ping, lacson, cast, vote, bayang, luma, elementary, school, imu, cavite, hashtagthefilipinovotes, philippine, live, update",
BREAKING Presidential candidate and Senator Ping Lacson casts his vote at the Bayang Luma 1 Elementary School in Imus Cavite hashtagTheFilipinoVotes Philippines Live updates,"['breaking', 'presidential', 'candidate', 'and', 'senator', 'ping', 'lacson', 'casts', 'his', 'vote', 'at', 'the', 'bayang', 'luma', '1', 'elementary', 'school', 'in', 'imus', 'cavite', 'hashtagthefilipinovotes', 'philippines', 'live', 'updates']","breaking, presidential, candidate, senator, ping, lacson, cast, vote, bayang, luma, elementary, school, imu, cavite, hashtagthefilipinovotes, philippine, live, update",
Replying to Presidential candidate Sen Ping Lacson arrives at Bayan Luma Elementary School in Imus Cavite to cast his vote hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'presidential', 'candidate', 'senator', 'ping', 'lacson', 'arrives', 'at', 'bayan', 'luma', 'elementary', 'school', 'in', 'imus', 'cavite', 'to', 'cast', 'his', 'vote', 'hashtagthefilipinovotes', 'philippines']","replying, presidential, candidate, senator, ping, lacson, arrives, bayan, luma, elementary, school, imu, cavite, cast, vote, hashtagthefilipinovotes, philippine",
ELECTION UPDATE Presidential candidate Sen Ping Lacson arrives at Bayan Luma Elementary School in Imus Cavite to cast his vote hashtagTheFilipinoVotes Philippines Live updates,"['election', 'update', 'presidential', 'candidate', 'senator', 'ping', 'lacson', 'arrives', 'at', 'bayan', 'luma', 'elementary', 'school', 'in', 'imus', 'cavite', 'to', 'cast', 'his', 'vote', 'hashtagthefilipinovotes', 'philippines', 'live', 'updates']","election, update, presidential, candidate, senator, ping, lacson, arrives, bayan, luma, elementary, school, imu, cavite, cast, vote, hashtagthefilipinovotes, philippine, live, update",
Replying to and A peek into the polling place the classroom where Bongbong Marcos and former first lady Imelda Marcos are expected to cast their votes any minute now hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'a', 'peek', 'into', 'the', 'polling', 'place', 'the', 'classroom', 'where', 'bongbong', 'marcos', 'and', 'former', 'first', 'lady', 'imelda', 'marcos', 'are', 'expected', 'to', 'cast', 'their', 'votes', 'any', 'minute', 'now', 'hashtagthefilipinovotes', 'philippines']","replying, peek, polling, place, classroom, bongbong, marcos, lady, imelda, marcos, expected, cast, vote, minute, hashtagthefilipinovotes, philippine",
Replying to and Among the early voters here in Cebu City are senior citizens persons with disability and firsttime voters A number of firsttime voters tell us theyre willing to bear the long queue just to be able to vote for their future hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'among', 'the', 'early', 'voters', 'here', 'in', 'cebu', 'city', 'are', 'senior', 'citizens', 'persons', 'with', 'disability', 'and', 'firsttime', 'voters', 'a', 'number', 'of', 'firsttime', 'voters', 'tell', 'us', 'theyre', 'willing', 'to', 'bear', 'the', 'long', 'queue', 'just', 'to', 'be', 'able', 'to', 'vote', 'for', 'their', 'future', 'hashtagthefilipinovotes', 'philippines']","replying, early, voter, cebu, city, senior, citizen, person, disability, firsttime, voter, number, firsttime, voter, bear, long, queue, vote, future, hashtagthefilipinovotes, philippine",
Replying to and Voters have started lining up at Kiamba Central Elementary School in Sarangani as voting starts hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'voters', 'have', 'started', 'lining', 'up', 'at', 'kiamba', 'central', 'elementary', 'school', 'in', 'sarangani', 'as', 'voting', 'starts', 'hashtagthefilipinovotes', 'philippines']","replying, voter, started, lining, kiamba, central, elementary, school, sarangani, voting, start, hashtagthefilipinovotes, philippine",
Replying to and School grounds are cordoned off from nonvoters Foreign and local journalists are boxed out Security extends within a 3040 meter perimeter local police told us hashtagTheFilipinoVotes Philippines Live blog,"['replying', 'to', 'and', 'school', 'grounds', 'are', 'cordoned', 'off', 'from', 'nonvoters', 'foreign', 'and', 'local', 'journalists', 'are', 'boxed', 'out', 'security', 'extends', 'within', 'a', '3040', 'meter', 'perimeter', 'local', 'police', 'told', 'us', 'hashtagthefilipinovotes', 'philippines', 'live', 'blog']","replying, school, ground, cordoned, nonvoters, foreign, local, journalist, boxed, security, extends, meter, perimeter, local, police, told, hashtagthefilipinovotes, philippine, live, blog",
Replying to and Senior citizens waiting in line to cast their votes Mahirap lang para sa amin kasi nasa pinakataas pa ang presinto namin an elderly voter tells hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'senior', 'citizens', 'waiting', 'in', 'line', 'to', 'cast', 'their', 'votes', 'mahirap', 'lang', 'para', 'sa', 'amin', 'kasi', 'nasa', 'pinakataas', 'pa', 'ang', 'presinto', 'namin', 'an', 'elderly', 'voter', 'tells', 'hashtagthefilipinovotes', 'philippines']","replying, senior, citizen, waiting, cast, vote, mahirap, pinakataas, presinto, elderly, voter, tell, hashtagthefilipinovotes, philippine",
Voters start to trickle in at the Mariano Marcos Memorial Elementary School as voting precincts open at 6am Almost 6500 Ilocanos are expected to cast their ballots here including presidential bet Bongbong Marcos and his mother Imelda hashtagTheFilipinoVotes Philippines,"['voters', 'start', 'to', 'trickle', 'in', 'at', 'the', 'mariano', 'marcos', 'memorial', 'elementary', 'school', 'as', 'voting', 'precincts', 'open', 'at', '6am', 'almost', '6500', 'ilocanos', 'are', 'expected', 'to', 'cast', 'their', 'ballots', 'here', 'including', 'presidential', 'bet', 'bongbong', 'marcos', 'and', 'his', 'mother', 'imelda', 'hashtagthefilipinovotes', 'philippines']","voter, start, trickle, mariano, marcos, memorial, elementary, school, voting, precinct, open, am, ilocanos, expected, cast, ballot, including, presidential, bet, bongbong, marcos, mother, imelda, hashtagthefilipinovotes, philippine",
Replying to and Voters continue to trickle in here at the Santa Cruz Central Elementary School Each room is allowed a maximum of 10 voters at a time hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'voters', 'continue', 'to', 'trickle', 'in', 'here', 'at', 'the', 'santa', 'cruz', 'central', 'elementary', 'school', 'each', 'room', 'is', 'allowed', 'a', 'maximum', 'of', '10', 'voters', 'at', 'a', 'time', 'hashtagthefilipinovotes', 'philippines']","replying, voter, continue, trickle, santa, cruz, central, elementary, school, room, allowed, maximum, voter, time, hashtagthefilipinovotes, philippine",
Replying to and Voters in Quezon City now checking their precinct assignments hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'voters', 'in', 'quezon', 'city', 'now', 'checking', 'their', 'precinct', 'assignments', 'hashtagthefilipinovotes', 'philippines']","replying, voter, quezon, city, checking, precinct, assignment, hashtagthefilipinovotes, philippine",
Replying to and Volunteers from the here in Davao City man the voter assistance desk offering a digital option to identify polling precinct assignments Policemen also help out voters especially the elderly on the directions to the polling centers hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'volunteers', 'from', 'the', 'here', 'in', 'davao', 'city', 'man', 'the', 'voter', 'assistance', 'desk', 'offering', 'a', 'digital', 'option', 'to', 'identify', 'polling', 'precinct', 'assignments', 'policemen', 'also', 'help', 'out', 'voters', 'especially', 'the', 'elderly', 'on', 'the', 'directions', 'to', 'the', 'polling', 'centers', 'hashtagthefilipinovotes', 'philippines']","replying, volunteer, davao, city, man, voter, assistance, desk, offering, digital, option, identify, polling, precinct, assignment, policeman, voter, elderly, direction, polling, center, hashtagthefilipinovotes, philippine",
LOOK BBMSara UniTeam booth near Pedro P Cruz Elementary School in Mandaluyong City on voting day hashtagTheFilipinoVotes Philippines Live blog,"['look', 'bbmsara', 'uniteam', 'booth', 'near', 'pedro', 'president', 'cruz', 'elementary', 'school', 'in', 'mandaluyong', 'city', 'on', 'voting', 'day', 'hashtagthefilipinovotes', 'philippines', 'live', 'blog']","bbmsara, uniteam, booth, pedro, president, cruz, elementary, school, mandaluyong, city, voting, day, hashtagthefilipinovotes, philippine, live, blog",
Replying to Comelec As of 5am 9995 ang readiness ng ating vote counting machines Meron lang pong dalawa na wala pong test ballots pero right now alam namin na nagfafunction na sila hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'commission_on_elections', 'as', 'of', '5am', '9995', 'ang', 'readiness', 'ng', 'ating', 'vote', 'counting', 'machines', 'meron', 'lang', 'pong', 'dalawa', 'na', 'wala', 'pong', 'test', 'ballots', 'pero', 'right', 'now', 'alam', 'namin', 'na', 'nagfafunction', 'na', 'sila', 'hashtagthefilipinovotes', 'philippines']","replying, commission_on_elections, am, readiness, vote, counting, machine, meron, pong, pong, test, ballot, alam, nagfafunction, hashtagthefilipinovotes, philippine",
Replying to and WATCH Voters at the Pasig Elementary School complain as the polling place remains closed Guards here announce they are still waiting for a go signal since some poll watchers have yet to arrive hashtagTheFilipinoVotes Philippines Live blog,"['replying', 'to', 'and', 'watch', 'voters', 'at', 'the', 'pasig', 'elementary', 'school', 'complain', 'as', 'the', 'polling', 'place', 'remains', 'closed', 'guards', 'here', 'announce', 'they', 'are', 'still', 'waiting', 'for', 'a', 'go', 'signal', 'since', 'some', 'poll', 'watchers', 'have', 'yet', 'to', 'arrive', 'hashtagthefilipinovotes', 'philippines', 'live', 'blog']","replying, watch, voter, pasig, elementary, school, complain, polling, place, remains, closed, guard, waiting, signal, poll, watcher, arrive, hashtagthefilipinovotes, philippine, live, blog",
Replying to Comelec assures that all precincts nationwide are manned by trained election watchers hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'commission_on_elections', 'assures', 'that', 'all', 'precincts', 'nationwide', 'are', 'manned', 'by', 'trained', 'election', 'watchers', 'hashtagthefilipinovotes', 'philippines']","replying, commission_on_elections, assures, precinct, nationwide, manned, trained, election, watcher, hashtagthefilipinovotes, philippine",
Replying to and Voters trickling in as polls open at 6am here in Davao City After going through temperature check voters check their names and polling precinct assignments on the lists posted in one of the school buildings hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'voters', 'trickling', 'in', 'as', 'polls', 'open', 'at', '6am', 'here', 'in', 'davao', 'city', 'after', 'going', 'through', 'temperature', 'check', 'voters', 'check', 'their', 'names', 'and', 'polling', 'precinct', 'assignments', 'on', 'the', 'lists', 'posted', 'in', 'one', 'of', 'the', 'school', 'buildings', 'hashtagthefilipinovotes', 'philippines']","replying, voter, trickling, poll, open, am, davao, city, temperature, check, voter, check, name, polling, precinct, assignment, list, posted, school, building, hashtagthefilipinovotes, philippine",
Replying to and Comelec assures public Sisiguraduhin po naming lahat na ang boto ninyo ang boto namin po ay mabibilang ng tama at wasto hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'commission_on_elections', 'assures', 'public', 'sisiguraduhin', 'po', 'naming', 'lahat', 'na', 'ang', 'boto', 'ninyo', 'ang', 'boto', 'namin', 'po', 'ay', 'mabibilang', 'ng', 'tama', 'at', 'wasto', 'hashtagthefilipinovotes', 'philippines']","replying, commission_on_elections, assures, public, sisiguraduhin, naming, boto, ninyo, boto, mabibilang, tama, wasto, hashtagthefilipinovotes, philippine",
Replying to and Precincts open at Carangcang Elementary School with only 10 voters allowed at a time inside the classroom hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'precincts', 'open', 'at', 'carangcang', 'elementary', 'school', 'with', 'only', '10', 'voters', 'allowed', 'at', 'a', 'time', 'inside', 'the', 'classroom', 'hashtagthefilipinovotes', 'philippines']","replying, precinct, open, carangcang, elementary, school, voter, allowed, time, inside, classroom, hashtagthefilipinovotes, philippine",
Replying to and Among the firsts to arrive here is this senior citizen She was given due courtesy and was the first to cast her vote in this precinct hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'among', 'the', 'firsts', 'to', 'arrive', 'here', 'is', 'this', 'senior', 'citizen', 'she', 'was', 'given', 'due', 'courtesy', 'and', 'was', 'the', 'first', 'to', 'cast', 'her', 'vote', 'in', 'this', 'precinct', 'hashtagthefilipinovotes', 'philippines']","replying, first, arrive, senior, citizen, courtesy, cast, vote, precinct, hashtagthefilipinovotes, philippine",
Replying to Comelec acting spokesperson John Rex Laudiangco on the Marcos disqualification case Holiday niya natanggap yung decision All the commissioners and chairmen had been in depth in the analysis of the case Thats why they decided to promulgate it tomorrow hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'commission_on_elections', 'acting', 'spokesperson', 'john', 'rex', 'laudiangco', 'on', 'the', 'marcos', 'disqualification', 'case', 'holiday', 'niya', 'natanggap', 'yung', 'decision', 'all', 'the', 'commissioners', 'and', 'chairmen', 'had', 'been', 'in', 'depth', 'in', 'the', 'analysis', 'of', 'the', 'case', 'thats', 'why', 'they', 'decided', 'to', 'promulgate', 'it', 'tomorrow', 'hashtagthefilipinovotes', 'philippines']","replying, commission_on_elections, acting, spokesperson, john, rex, laudiangco, marcos, disqualification, case, holiday, natanggap, decision, commissioner, chairman, depth, analysis, case, decided, promulgate, tomorrow, hashtagthefilipinovotes, philippine",
Replying to and WATCH Voters now allowed to enter Commonwealth Elementary School This is one of the biggest voting centers in the voterich city hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'watch', 'voters', 'now', 'allowed', 'to', 'enter', 'commonwealth', 'elementary', 'school', 'this', 'is', 'one', 'of', 'the', 'biggest', 'voting', 'centers', 'in', 'the', 'voterich', 'city', 'hashtagthefilipinovotes', 'philippines']","replying, watch, voter, allowed, enter, commonwealth, elementary, school, biggest, voting, center, voterich, city, hashtagthefilipinovotes, philippine",
Replying to and WATCH The Board of Election Inspectors at Bayan Luma I Elementary School in Imus City unboxing the vote counting machine while poll watchers are observing it hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'watch', 'the', 'board', 'of', 'election', 'inspectors', 'at', 'bayan', 'luma', 'i', 'elementary', 'school', 'in', 'imus', 'city', 'unboxing', 'the', 'vote', 'counting', 'machine', 'while', 'poll', 'watchers', 'are', 'observing', 'it', 'hashtagthefilipinovotes', 'philippines']","replying, watch, board, election, inspector, bayan, luma, elementary, school, imu, city, unboxing, vote, counting, machine, poll, watcher, observing, hashtagthefilipinovotes, philippine",
Replying to and WATCH 2 minutes before voting starts senior citizen voters are being allowed entry at the Magat Salamat Elem School in Manila Over 31000 voters are expected to show up here today hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'and', 'watch', '2', 'minutes', 'before', 'voting', 'starts', 'senior', 'citizen', 'voters', 'are', 'being', 'allowed', 'entry', 'at', 'the', 'magat', 'salamat', 'elem', 'school', 'in', 'manila', 'over', '31000', 'voters', 'are', 'expected', 'to', 'show', 'up', 'here', 'today', 'hashtagthefilipinovotes', 'philippines']","replying, watch, minute, voting, start, senior, citizen, voter, allowed, entry, magat, salamat, elem, school, manila, voter, expected, today, hashtagthefilipinovotes, philippine",
Heres the classroom at Kiamba Central Elementary School in Sarangani where Sen will vote today Ballots ballot boxes indelible ink bottles have been laid out for use when voters arrive hashtagTheFilipinoVotes Philippines Live blog,"['heres', 'the', 'classroom', 'at', 'kiamba', 'central', 'elementary', 'school', 'in', 'sarangani', 'where', 'senator', 'will', 'vote', 'today', 'ballots', 'ballot', 'boxes', 'indelible', 'ink', 'bottles', 'have', 'been', 'laid', 'out', 'for', 'use', 'when', 'voters', 'arrive', 'hashtagthefilipinovotes', 'philippines', 'live', 'blog']","classroom, kiamba, central, elementary, school, sarangani, senator, vote, today, ballot, ballot, box, indelible, ink, bottle, laid, voter, arrive, hashtagthefilipinovotes, philippine, live, blog",
Good morning everyone Were here at Bayan Luma I Elementary School where presidential candidate Sen Ping Lacson will vote hashtagTheFilipinoVotes Philippines Live blog,"['good', 'morning', 'everyone', 'were', 'here', 'at', 'bayan', 'luma', 'i', 'elementary', 'school', 'where', 'presidential', 'candidate', 'senator', 'ping', 'lacson', 'will', 'vote', 'hashtagthefilipinovotes', 'philippines', 'live', 'blog']","good, morning, bayan, luma, elementary, school, presidential, candidate, senator, ping, lacson, vote, hashtagthefilipinovotes, philippine, live, blog",
Replying to PNP OIC Danao reminds all police personnel to remain apolitical nonpartisan and to treat all candidates equally hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'pnp', 'officer_in_charge', 'danao', 'reminds', 'all', 'police', 'personnel', 'to', 'remain', 'apolitical', 'nonpartisan', 'and', 'to', 'treat', 'all', 'candidates', 'equally', 'hashtagthefilipinovotes', 'philippines']","replying, pnp, officer_in_charge, danao, reminds, police, personnel, remain, apolitical, nonpartisan, treat, candidate, equally, hashtagthefilipinovotes, philippine",
Replying to PNP officerincharge Vicente Danao Jr reminds campaign materials cannot be distributed in voting precincts Bawal na ang campaigning since yesterday They will be cautioned to stop If they insist they will be apprehended hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'pnp', 'officerincharge', 'vicente', 'danao', 'junior', 'reminds', 'campaign', 'materials', 'can', 'not', 'be', 'distributed', 'in', 'voting', 'precincts', 'bawal', 'na', 'ang', 'campaigning', 'since', 'yesterday', 'they', 'will', 'be', 'cautioned', 'to', 'stop', 'if', 'they', 'insist', 'they', 'will', 'be', 'apprehended', 'hashtagthefilipinovotes', 'philippines']","replying, pnp, officerincharge, vicente, danao, junior, reminds, campaign, material, distributed, voting, precinct, bawal, campaigning, yesterday, cautioned, insist, apprehended, hashtagthefilipinovotes, philippine",
THREAD Philippine National Police holds a press briefing LIVE Tweets by our digital producer hashtagTheFilipinoVotes Philippines,"['thread', 'philippine', 'national', 'police', 'holds', 'a', 'press', 'briefing', 'live', 'tweets', 'by', 'our', 'digital', 'producer', 'hashtagthefilipinovotes', 'philippines']","thread, philippine, national, police, hold, press, briefing, live, tweet, digital, producer, hashtagthefilipinovotes, philippine",
Replying to Kontra Daya says a lot are at stake in this 2022 elections The protection of human rights the sovereignty the quality of leadership in the next six years and how do we address the pandemic in the new normal hashtagTheFilipinoVotes Philippines,"['replying', 'to', 'against', 'cheating', 'says', 'a', 'lot', 'are', 'at', 'stake', 'in', 'this', '2022', 'elections', 'the', 'protection', 'of', 'human', 'rights', 'the', 'sovereignty', 'the', 'quality', 'of', 'leadership', 'in', 'the', 'next', 'six', 'years', 'and', 'how', 'do', 'we', 'address', 'the', 'pandemic', 'in', 'the', 'new', 'normal', 'hashtagthefilipinovotes', 'philippines']","replying, cheating, lot, stake, election, protection, human, right, sovereignty, quality, leadership, year, address, pandemic, normal, hashtagthefilipinovotes, philippine",
